java_file,go_file,status
operation/predicate/RectangleIntersectsTest.java,operation_predicate_rectangle_intersects_test.go,ported
operation/relate/EdgeEndBuilder.java,operation_relate_edge_end_builder.go,ported
operation/relate/EdgeEndBundle.java,operation_relate_edge_end_bundle.go,ported
operation/relate/EdgeEndBundleStar.java,operation_relate_edge_end_bundle_star.go,ported
operation/relateng/AdjacentEdgeLocator.java,operation_relateng_adjacent_edge_locator.go,ported
operation/relateng/AdjacentEdgeLocatorTest.java,operation_relateng_adjacent_edge_locator_test.go,ported
operation/relateng/BasicPredicate.java,operation_relateng_basic_predicate.go,ported
operation/relateng/DimensionLocation.java,operation_relateng_dimension_location.go,ported
operation/relateng/EdgeSegmentIntersector.java,operation_relateng_edge_segment_intersector.go,ported
operation/relateng/EdgeSegmentOverlapAction.java,operation_relateng_edge_segment_overlap_action.go,ported
operation/relateng/EdgeSetIntersector.java,operation_relateng_edge_set_intersector.go,ported
operation/relateng/IMPatternMatcher.java,operation_relateng_im_pattern_matcher.go,ported
operation/relateng/IMPredicate.java,operation_relateng_im_predicate.go,ported
operation/relateng/IntersectionMatrixPattern.java,operation_relateng_intersection_matrix_pattern.go,ported
operation/relateng/LinearBoundary.java,operation_relateng_linear_boundary.go,ported
operation/relateng/LinearBoundaryTest.java,operation_relateng_linear_boundary_test.go,ported
operation/relateng/NodeSection.java,operation_relateng_node_section.go,ported
operation/relateng/NodeSections.java,operation_relateng_node_sections.go,ported
operation/relateng/PolygonNodeConverter.java,operation_relateng_polygon_node_converter.go,ported
operation/relateng/PolygonNodeConverterTest.java,operation_relateng_polygon_node_converter_test.go,ported
operation/relateng/RelateEdge.java,operation_relateng_relate_edge.go,ported
operation/relateng/RelateGeometry.java,operation_relateng_relate_geometry.go,ported
operation/relateng/RelateGeometryTest.java,operation_relateng_relate_geometry_test.go,ported
operation/relateng/RelateMatrixPredicate.java,operation_relateng_relate_matrix_predicate.go,ported
operation/relateng/RelateNG.java,operation_relateng_relate_ng.go,reviewed
operation/relateng/RelateNGTest.java,operation_relateng_relate_ng_test.go,ported
operation/relateng/RelateNode.java,operation_relateng_relate_node.go,ported
operation/relateng/RelatePointLocator.java,operation_relateng_relate_point_locator.go,ported
operation/relateng/RelatePointLocatorTest.java,operation_relateng_relate_point_locator_test.go,ported
operation/relateng/RelatePredicate.java,operation_relateng_relate_predicate.go,reviewed
operation/relateng/RelateSegmentString.java,operation_relateng_relate_segment_string.go,ported
operation/relateng/TopologyComputer.java,operation_relateng_topology_computer.go,ported
operation/relateng/TopologyPredicate.java,operation_relateng_topology_predicate.go,ported
operation/relateng/TopologyPredicateTracer.java,operation_relateng_topology_predicate_tracer.go,ported
operation/relate/RelateComputer.java,operation_relate_relate_computer.go,ported
operation/relate/RelateNodeFactory.java,operation_relate_relate_node_factory.go,ported
operation/relate/RelateNode.java,operation_relate_relate_node.go,ported
operation/relate/RelateOp.java,operation_relate_relate_op.go,ported
operation/union/CascadedPolygonUnion.java,operation_union_cascaded_polygon_union.go,ported
operation/union/CascadedPolygonUnionTest.java,operation_union_cascaded_polygon_union_test.go,ported
operation/union/InputExtracter.java,operation_union_input_extracter.go,ported
operation/union/OverlapUnion.java,operation_union_overlap_union.go,ported
operation/union/OverlapUnionTest.java,operation_union_overlap_union_test.go,ported
operation/union/PointGeometryUnion.java,operation_union_point_geometry_union.go,ported
operation/union/UnaryUnionOp.java,operation_union_unary_union_op.go,ported
operation/union/UnionInteracting.java,operation_union_union_interacting.go,ported
operation/union/UnionStrategy.java,operation_union_union_strategy.go,ported
operation/valid/IsSimpleOp.java,operation_valid_is_simple_op.go,ported
planargraph/algorithm/ConnectedSubgraphFinder.java,planargraph_algorithm_connected_subgraph_finder.go,ported
planargraph/DirectedEdge.java,planargraph_directed_edge.go,ported
planargraph/DirectedEdgeStar.java,planargraph_directed_edge_star.go,ported
planargraph/DirectedEdgeTest.java,planargraph_directed_edge_test.go,ported
planargraph/Edge.java,planargraph_edge.go,ported
planargraph/GraphComponent.java,planargraph_graph_component.go,ported
planargraph/Node.java,planargraph_node.go,ported
planargraph/NodeMap.java,planargraph_node_map.go,ported
planargraph/PlanarGraph.java,planargraph_planar_graph.go,ported
planargraph/Subgraph.java,planargraph_subgraph.go,ported
shape/fractal/HilbertCode.java,shape_fractal_hilbert_code.go,ported
shape/fractal/HilbertCodeTest.java,shape_fractal_hilbert_code_test.go,ported
testrunner/BooleanResult.java,jtstest_testrunner_boolean_result.go,ported
testrunner/BufferResultMatcher.java,jtstest_testrunner_buffer_result_matcher.go,ported
testrunner/DoubleResult.java,jtstest_testrunner_double_result.go,ported
